sample	pop	perf	assay	run	url	date
ERS185222	FIN	ICMB	HG00375.4.M_120208_4	ERR188462	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188462/ERR188462_2.fastq.gz	120208
ERS185056	FIN	ICMB	HG00382.4.M_120208_4	ERR188115	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188115/ERR188115_1.fastq.gz	120208
ERS185056	FIN	ICMB	HG00382.4.M_120208_4	ERR188115	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188115/ERR188115_2.fastq.gz	120208
ERS185490	GBR	ICMB	HG00103.4.M_120208_3	ERR188136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188136/ERR188136_1.fastq.gz	120208
ERS185490	GBR	ICMB	HG00103.4.M_120208_3	ERR188136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188136/ERR188136_2.fastq.gz	120208
ERS185411	GBR	ICMB	HG00106.4.M_120208_5	ERR188167	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188167/ERR188167_1.fastq.gz	120208
ERS185411	GBR	ICMB	HG00106.4.M_120208_5	ERR188167	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188167/ERR188167_2.fastq.gz	120208
ERS185083	GBR	ICMB	HG00118.4.M_120208_5	ERR188236	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_1.fastq.gz	120208
ERS185083	GBR	ICMB	HG00118.4.M_120208_5	ERR188236	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_2.fastq.gz	120208
ERS185352	GBR	ICMB	HG00123.4.M_120208_7	ERR188035	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_1.fastq.gz	120208
ERS185352	GBR	ICMB	HG00123.4.M_120208_7	ERR188035	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_2.fastq.gz	120208
ERS185235	GBR	ICMB	HG00129.4.M_120208_8	ERR188412	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188412/ERR188412_1.fastq.gz	120208
ERS185235	GBR	ICMB	HG00129.4.M_120208_8	ERR188412	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188412/ERR188412_2.fastq.gz	120208
ERS185448	GBR	ICMB	HG00136.4.M_120208_7	ERR188383	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188383/ERR188383_1.fastq.gz	120208
ERS185448	GBR	ICMB	HG00136.4.M_120208_7	ERR188383	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188383/ERR188383_2.fastq.gz	120208
ERS185174	GBR	ICMB	HG00142.4.M_120208_6	ERR188466	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188466/ERR188466_1.fastq.gz	120208
ERS185174	GBR	ICMB	HG00142.4.M_120208_6	ERR188466	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188466/ERR188466_2.fastq.gz	120208
ERS185070	GBR	ICMB	HG00150.4.M_120208_7	ERR188309	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188309/ERR188309_1.fastq.gz	120208
ERS185070	GBR	ICMB	HG00150.4.M_120208_7	ERR188309	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188309/ERR188309_2.fastq.gz	120208
ERS185243	GBR	ICMB	HG00156.4.M_120208_1	ERR188287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188287/ERR188287_1.fastq.gz	120208
ERS185243	GBR	ICMB	HG00156.4.M_120208_1	ERR188287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188287/ERR188287_2.fastq.gz	120208
ERS185501	GBR	ICMB	HG00243.4.M_120208_2	ERR188411	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188411/ERR188411_1.fastq.gz	120208
ERS185501	GBR	ICMB	HG00243.4.M_120208_2	ERR188411	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188411/ERR188411_2.fastq.gz	120208
ERS185364	GBR	ICMB	HG00245.4.M_120208_6	ERR188159	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188159/ERR188159_1.fastq.gz	120208
ERS185364	GBR	ICMB	HG00245.4.M_120208_6	ERR188159	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188159/ERR188159_2.fastq.gz	120208
ERS185472	GBR	ICMB	HG00257.4.M_120208_5	ERR188323	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188323/ERR188323_1.fastq.gz	120208
ERS185472	GBR	ICMB	HG00257.4.M_120208_5	ERR188323	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188323/ERR188323_2.fastq.gz	120208
ERS185226	TSI	ICMB	NA20513.4.M_120208_1	ERR188160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188160/ERR188160_1.fastq.gz	120208
ERS185226	TSI	ICMB	NA20513.4.M_120208_1	ERR188160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188160/ERR188160_2.fastq.gz	120208
ERS185188	TSI	ICMB	NA20518.4.M_120208_3	ERR188050	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188050/ERR188050_1.fastq.gz	120208
ERS185188	TSI	ICMB	NA20518.4.M_120208_3	ERR188050	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188050/ERR188050_2.fastq.gz	120208
ERS185159	TSI	ICMB	NA20531.4.M_120208_1	ERR188399	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188399/ERR188399_1.fastq.gz	120208
ERS185159	TSI	ICMB	NA20531.4.M_120208_1	ERR188399	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188399/ERR188399_2.fastq.gz	120208
ERS185287	TSI	ICMB	NA20539.4.M_120208_5	ERR188138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188138/ERR188138_1.fastq.gz	120208
ERS185287	TSI	ICMB	NA20539.4.M_120208_5	ERR188138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188138/ERR188138_2.fastq.gz	120208
ERS185499	TSI	ICMB	NA20544.4.M_120208_5	ERR188252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188252/ERR188252_1.fastq.gz	120208
ERS185499	TSI	ICMB	NA20544.4.M_120208_5	ERR188252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188252/ERR188252_2.fastq.gz	120208
ERS185380	TSI	ICMB	NA20582.4.M_120208_2	ERR188259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188259/ERR188259_1.fastq.gz	120208
ERS185380	TSI	ICMB	NA20582.4.M_120208_2	ERR188259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188259/ERR188259_2.fastq.gz	120208
ERS185289	TSI	ICMB	NA20754.4.M_120208_1	ERR188108	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188108/ERR188108_1.fastq.gz	120208
ERS185289	TSI	ICMB	NA20754.4.M_120208_1	ERR188108	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188108/ERR188108_2.fastq.gz	120208
ERS185190	TSI	ICMB	NA20759.4.M_120208_3	ERR188068	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188068/ERR188068_1.fastq.gz	120208
ERS185190	TSI	ICMB	NA20759.4.M_120208_3	ERR188068	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188068/ERR188068_2.fastq.gz	120208
ERS185161	TSI	ICMB	NA20778.4.M_120208_1	ERR188079	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188079/ERR188079_1.fastq.gz	120208
ERS185161	TSI	ICMB	NA20778.4.M_120208_1	ERR188079	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188079/ERR188079_2.fastq.gz	120208
ERS185133	TSI	ICMB	NA20783.4.M_120208_6	ERR188171	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188171/ERR188171_1.fastq.gz	120208
ERS185133	TSI	ICMB	NA20783.4.M_120208_6	ERR188171	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188171/ERR188171_2.fastq.gz	120208
ERS185317	TSI	ICMB	NA20785.4.M_120208_1	ERR188173	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188173/ERR188173_1.fastq.gz	120208
ERS185317	TSI	ICMB	NA20785.4.M_120208_1	ERR188173	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188173/ERR188173_2.fastq.gz	120208
ERS185132	TSI	ICMB	NA20804.4.M_120208_1	ERR188147	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188147/ERR188147_1.fastq.gz	120208
ERS185132	TSI	ICMB	NA20804.4.M_120208_1	ERR188147	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188147/ERR188147_2.fastq.gz	120208
ERS185113	TSI	ICMB	NA20805.4.M_120208_7	ERR188286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188286/ERR188286_1.fastq.gz	120208
ERS185113	TSI	ICMB	NA20805.4.M_120208_7	ERR188286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188286/ERR188286_2.fastq.gz	120208
ERS185024	TSI	ICMB	NA20808.4.M_120208_6	ERR188253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188253/ERR188253_1.fastq.gz	120208
ERS185024	TSI	ICMB	NA20808.4.M_120208_6	ERR188253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188253/ERR188253_2.fastq.gz	120208
ERS185055	YRI	ICMB	NA18488.4.M_120208_7	ERR188311	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188311/ERR188311_1.fastq.gz	120208
ERS185055	YRI	ICMB	NA18488.4.M_120208_7	ERR188311	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188311/ERR188311_2.fastq.gz	120208
ERS185327	YRI	ICMB	NA18873.4.M_120208_7	ERR188313	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188313/ERR188313_1.fastq.gz	120208
ERS185327	YRI	ICMB	NA18873.4.M_120208_7	ERR188313	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188313/ERR188313_2.fastq.gz	120208
ERS185028	YRI	ICMB	NA18909.4.M_120208_8	ERR188352	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188352/ERR188352_1.fastq.gz	120208
